1,100,49,6,17,48,2,90,4,12,5,24,3.0
2,70,78,1,14,20,73,30,53,3,6,7,5.0
3,86,65,4,26,12,46,21,9,42,3,45,1.0
4,115,20,6,21,58,3,39,25,33,6,13,21.0
5,106,24,14,16,62,33,22,4,30,8,22,19.0
6,97,61,4,4,78,30,1,11,46,22,1,5.0
7,103,49,7,1,23,42,9,77,10,25,6,8.0
8,116,26,6,21,47,31,13,24,27,15,19,15.0
9,94,57,4,28,65,7,11,31,1,28,12,22.0
10,96,45,31,4,26,62,10,30,12,27,1,16.0
11,95,63,6,10,54,45,20,2,5,5,51,4.0
12,84,65,16,16,34,37,6,22,23,38,9,10.0
13,105,36,2,4,81,33,7,49,12,4,21,6.0
14,115,19,2,79,30,3,23,20,4,27,36,2.0
15,97,49,21,74,41,8,28,7,13,8,14,
16,103,52,4,1,28,44,71,19,3,10,13,12.0
17,100,26,47,12,5,55,25,24,49,11,4,2.0
18,106,42,4,26,60,24,19,3,2,28,42,4.0
19,99,55,2,1,80,9,15,10,66,8,5,10.0
20,111,14,15,60,23,12,16,62,11,28,6,2.0
21,92,55,14,1,75,8,7,34,30,14,21,9.0
22,100,54,30,17,11,14,98,29,4,1,2,
23,98,29,23,44,45,17,16,2,66,9,2,9.0
24,98,34,40,2,34,63,2,10,61,3,13,
25,114,34,1,42,39,27,5,23,39,1,23,12.0
26,82,70,11,25,8,14,27,86,9,9,18,1.0
27,101,46,8,2,71,16,1,9,60,30,8,8.0
28,106,22,57,10,32,20,59,7,12,30,1,4.0
29,113,29,9,15,77,30,6,25,34,7,5,10.0
30,104,41,20,11,59,16,3,45,24,19,3,15.0
31,101,48,3,2,23,55,68,15,20,9,4,12.0
32,113,45,4,68,23,15,8,37,12,15,20,
33,88,51,18,27,35,38,11,10,7,41,24,10.0
34,105,21,58,10,9,61,3,59,7,5,5,17.0
35,91,58,1,22,16,31,49,18,20,17,37,
36,102,44,3,44,21,10,57,23,20,3,30,3.0
37,109,37,4,25,64,12,25,4,12,35,10,23.0
38,83,69,2,17,16,36,51,29,19,24,4,10.0
39,106,27,26,37,18,13,43,52,1,33,1,3.0
40,81,76,4,13,45,28,51,5,7,4,17,29.0
41,112,18,29,30,7,34,21,17,37,38,6,11.0
42,82,70,10,26,13,22,66,4,12,43,5,7.0
43,104,36,3,46,45,31,28,24,30,3,6,4.0
44,100,43,9,10,71,12,34,12,21,13,30,5.0
45,114,31,10,16,47,21,48,18,16,6,4,29.0
46,93,59,15,15,25,63,3,15,31,33,8,
47,118,24,4,19,72,23,5,6,34,29,24,2.0
48,101,35,13,36,52,3,7,9,34,53,7,10.0
49,95,40,4,46,34,24,34,26,29,4,19,5.0
50,101,29,50,7,5,32,15,43,49,12,2,15.0
51,107,29,11,18,64,23,5,79,1,16,7,
52,89,67,4,18,27,22,64,27,27,1,11,3.0
53,108,40,10,18,63,11,10,11,58,4,19,8.0
54,94,54,14,13,87,11,29,4,18,19,15,2.0
55,103,44,6,11,68,2,58,6,6,3,47,6.0
56,111,37,4,41,31,28,22,27,14,5,37,3.0
57,111,17,23,38,4,64,48,1,25,1,11,17.0
58,86,62,5,30,4,69,18,16,44,4,20,2.0
59,96,58,3,9,1,80,38,10,32,5,8,20.0
60,109,24,32,14,31,17,16,70,8,29,8,2.0
61,86,68,5,32,24,18,46,31,43,4,1,2.0
62,104,38,12,18,2,91,14,8,12,31,17,13.0
63,103,43,12,24,53,4,28,9,69,5,3,7.0
64,90,58,3,37,23,17,19,67,32,2,6,6.0
65,85,78,12,37,11,47,43,8,2,7,26,4.0
66,113,35,26,14,26,19,55,6,23,30,7,6.0
67,103,42,12,23,72,20,8,7,7,30,32,4.0
68,101,58,2,22,15,53,11,55,10,13,13,7.0
69,118,21,6,53,3,40,30,24,13,35,15,2.0
70,101,22,24,53,10,20,13,52,53,4,8,
71,67,92,17,1,5,73,1,49,13,15,14,13.0
72,91,39,33,38,7,37,12,43,17,31,6,6.0
73,81,68,3,26,58,5,42,28,27,9,1,12.0
74,88,61,3,23,24,24,18,79,30,5,4,1.0
75,95,43,13,30,22,39,57,21,16,12,8,4.0
76,97,52,7,10,7,105,20,14,7,29,4,8.0
77,79,62,17,7,57,2,72,10,10,27,8,9.0
78,101,36,15,6,62,32,22,6,55,9,5,11.0
79,102,46,10,24,35,26,17,50,17,8,14,11.0
80,92,51,25,13,23,9,126,13,4,1,3,
81,85,55,29,12,48,7,57,19,15,1,5,27.0
82,119,20,2,12,72,28,12,8,32,23,21,11.0
83,64,86,4,14,27,51,20,25,11,37,3,18.0
84,97,46,12,10,103,13,5,24,28,16,4,2.0
85,125,7,19,44,25,21,4,32,59,1,16,7.0
86,127,1,1,50,25,49,4,79,8,15,1,
87,111,21,22,31,54,3,5,36,23,39,3,12.0
88,102,7,49,10,12,51,27,50,20,7,13,12.0
89,120,4,3,52,64,7,17,32,46,3,6,6.0
90,90,36,23,20,83,5,25,43,7,5,10,13.0
91,110,44,7,32,4,37,49,11,22,15,10,19.0
92,103,36,20,21,31,17,21,62,10,24,3,12.0
93,119,4,22,16,59,47,21,6,51,1,3,11.0
94,102,41,13,24,12,66,25,24,7,17,14,15.0
95,93,48,5,64,1,64,10,5,34,21,14,1.0
96,118,8,14,36,30,48,43,33,4,6,3,17.0
97,100,41,18,3,56,45,37,4,10,36,1,9.0
98,109,30,36,6,8,45,18,25,51,1,22,9.0
99,102,24,45,4,24,55,27,1,40,4,16,18.0
100,99,62,15,6,41,29,5,24,23,29,16,11.0
